,Human Summary,Generated Summary
0,उत्तर प्रदेश में भाजपा ने चुनाव के लिए अनुराग ठाकुर अर्जुन मेघवाल सरोज पांडेय शोभा करंदलाजे कैप्टन अभिमन्यु अन्नपूर्णा देवी विवेक ठाकुर को सह प्रभारी की जिम्मेदारी दी है ,नई दिल्ली भारतीय जनता पार्टी ने अगले साल होने वाले चुनावों के चुनाव प्रभारियों की नियुक्तियां की हैं भाजपा के लिहाज से सबसे महत्वपूर्ण राज्य उत्तर प्रदेश का जिम्मा धर्मेंद्र प्रधान को दिया है धर्मेंद्र प्रधान यूपी के चुनाव प्रभारी होंगे गजेंद्र सिंह शेखावत को पंजाब का प्रभारी बनाया है उत्तर प्रदेश में भाजपा ने चुनाव के लिए अनुराग ठाकुर अर्जुन मेघवाल सरोज पांडेय शोभा करंद
1,मिजोरम के साथ लगी सीमा पर शांति बहाल होने का उल्लेख करते हुए असम के मुख्यमंत्री हेमंत बिस्व सरमा ने सोमवार को कहा कि राज्यों के बीच दशकों पुराने सीमा विवाद का एक दिन में समाधान नहीं हो सकता क्योंकि यह एक बहुत ही जटिल मुद्दा है ,नयी दिल्ली मिजोरम के साथ लगी सीमा पर शांति बहाल होने का उल्लेख करते हुए असम के मुख्यमंत्री हेमंत बिस्व सरमा ने सोमवार को कहा कि राज्यों के बीच दशकों पुराने सीमा विवाद का एक दिन में समाधान नहीं हो सकता क्योंकि यह एक बहुत ही जटिल मुद्दा है सीमा विवाद ब्रिटिश काल से भी पहले से होने का जिक्र करते हुए सरमा ने पीटीआई-भाषा
2,अरुणाचल प्रदेश के भाजपा सांसद तापिर गाओ ने कहा कि चीन की पीपुल्स लिबरेशन आर्मी जिसने राज्य के सियांग जिले के किशोर मिराम तारोन का अपहरण कर लिया था उसे वापस भारत को सौंपा है लेकिन इस दौरान उसे मारा-पीटा गया और इलेक्ट्रिक शॉक भी दिए गए तापिर गाओ ने सरकार से मांग की है कि इस मुद्दे को प्रमुखता से उठाएं ,अरुणाचल प्रदेश के भाजपा सांसद तापिर गाओ ने कहा कि चीन की पीपुल्स लिबरेशन आर्मी जिसने राज्य के सियांग जिले के किशोर मिराम तारोन का अपहरण कर लिया था उसे वापस भारत को सौंपा है लेकिन इस दौरान उसे मारा—पीटा गया और इलेक्ट्रिक शॉक भी दिए गए तापिर गाओ ने सरकार से मांग की है कि इस मुद्दे को
3,दिल्ली पुलिस कमिश्नर एसएन श्रीवास्तव ने गणतंत्र दिवस पर होने वाली किसानों की ट्रैक्टर रैली की तैयारियों का जायज़ा लिया ,नई दिल्ली दिल्ली पुलिस कमिश्नर एसएन श्रीवास्तव ने गणतंत्र दिवस पर होने वाली किसानों की ट्रैक्टर रैली की तैयारियों का जायज़ा लिया उन्होंने कहा किसानों से बातचीत करने के बाद हमने रूट तय कर दिया है जिसको वो मानते हैं ट्रैक्टर रैली जनवरी को के लिए मार्गों पर पारस्परिक रूप से सहमति बनी है हमें उम्मीद हैं कि वो उसी रूट पर ही जाएंगे पुलिस कमिश्नर एसएन श्रीवास्तव
4,जम्मू-कश्मीर दौरे के तीसरे दिन अमित शाह आज श्रीनगर में विकास कार्यों की समीक्षा करेंगे यहां वह कई विकास परियोजनाओं का शिलान्यास और उद्घाटन भी करेंगे ,श्रीनगर गृह मंत्री अमित शाह के जम्मू-कश्मीर दौरे का आज तीसरा और आखिरी दिन है कल की तरह आज भी उनका बेहद ही व्यस्त कार्यक्रम है जहां वो श्रीनगर में विकास कार्यों की समीक्षा करेंगे यहां वह कई विकास परियोजनाओं का शिलान्यास और उद्घाटन भी करेंगे शाह आज पुलवामा के लेथपोरा में पुष्पांजलि समारोह में पुष्पांजलि समारोह में शामिल होंगे और जवानों के साथ समय भी बित
5,संसद हंगामे के लिए नहीं होती है बल्कि यह चर्चा के लिए है अगर चर्चा की जगह हंगामा होगा तो ये लोकतंत्र का गला घोंटने जैसा है ये किसी कीमत पर नहीं होना चाहिए ,संसद में बुधवार को परंपरा हार गई और हंगामा जीत गया विपक्ष के लगातार हंगामे के कारण संसद का पूरा मानसून सत्र बर्बाद हो गया राज्यसभा और लोकसभा दोनों सदनों की कार्यवाही को निर्धारित समय से दो दिन पहले अनिश्चितकाल के लिए स्थगित करना पड़ा हालांकि मानसून सत्र अगस्त तक चलना था लेकिन जिस तरह से संसद चल रही थी उसे चलना नहीं कहा जा सकता वो बस
6,आधार कार्ड एक बेहद ही जरुरी डॉक्यूमेंट हो गया है स्कूल में बच्चों के एडमिशन के लिए आधार कार्ड जरूरी है इसके अलावा सरकारी योजनाओं का लाभ उठाने के लिए भी आधार के बिना काम नही होता है ,नई दिल्ली आधार कार्ड एक बेहद ही जरुरी डॉक्यूमेंट हो गया है स्कूल में बच्चों के एडमिशन के लिए आधार कार्ड जरूरी है इसके अलावा सरकारी योजनाओं का लाभ उठाने के लिए भी आधार के बिना काम नही होता है हालांकि बच्चों के लिए आधार कार्ड रखना अनिवार्य नहीं है लेकिन माता-पिता भविष्य में होने वाली परेशानियों से बचाने के लिए अपने बच्चों का आधार कार्ड बनवाना चाहते
7,मौसम विभाग ने राजधानी और आसपास के इलाकों में अगले कुछ घंटों में हल्की से मध्यम बारिश का अनुमान जताया है ,मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम मौसम
8,प्रधानमंत्री नरेंद्र मोदी ने कहा कि खेती को खुशहाल बनाने के लिए यह समय है इस समय को गंवाना नहीं चाहिए हमें आगे बढ़ना चाहिए देश को पीछे नहीं ले जाना चाहिए पक्ष हो विपक्ष हो आंदोलनकारी साथी हो इन सुधारों को मौका देना चाहिए कोई कमी हो उसको ठीक करेंगे और कहीं ढिलाई है तो उसको करेंगे ऐसा तो है नहीं कि सब दरवाजे बंद कर दिए ,नई दिल्ली सोमवार को प्रधानमंत्री नरेंद्र मोदी ने राज्यसभा में राष्ट्रपति के अभिभाषण का जवाब दिया इश दौरान पीएम नरेंद्र मोदी ने किसान संगठनों के लोगों से आंदोलन खत्म करने का निवेदन किया प्रधानमंत्री नरेंद्र मोदी ने कहा कि लगातार आंदोलन से जुड़े लोगों से प्रार्थना करते हैं आंदोलन आपका अधिकार है लेकिन इस प्रकार से बुजुर्ग लोग वहां बैठे हैं यह ठीक नहीं है आप सबको ले जाइए आप आंदोलन
9,हरियाणा में शुक्रवार को कोरोना वायरस के नए मामले और मौतें दर्ज की गई है इसके साथ ही लोगों को भी डिस्चार्ज किया गया है ,चंडीगढ़ हरियाणा में शुक्रवार को कोरोना वायरस के नए मामले और मौतें दर्ज की गई है इसके साथ ही लोगों को भी डिस्चार्ज किया गया है इन आंकड़ों के बाद राज्य में सक्रिय मामलों रिकवरी और मौतों सहित संक्रमितों की कुल संख्या हो गई हैं राज्य स्वास्थ्य विभाग ने इसकी जानकारी दी है वही अगर देश में उपचारधीन रोगियों की बात करें तो केन्द्रीय स्वास्थ्य मंत्रालय ने
10,भाजपा विधायक दल के नेता इस तटीय राज्य के अगले मुख्यमंत्री के रूप में कार्यभार संभालेंगे भाजपा के नवनिर्वाचित विधायक राज्य की राजधानी पणजी स्थित पार्टी मुख्यालय में आयोजित बैठक में भाग ले रहे हैं ,गोवा का नया मुख्यमंत्री चुनने के लिए भारतीय जनता पार्टी भाजपा की एक महत्वपूर्ण बैठक सोमवार शाम को पणजी में शुरू हुई यह बैठक हाल ही में हुए विधानसभा चुनावों में भाजपा के सीटें जीतकर सबसे बड़े राजनीतिक दल के रूप में उभरने के दिन बाद हो रही है भाजपा के केंद्रीय पर्यवेक्षक नरेंद्र सिंह तोमर और एल मुरुगन भाजपा विधायक दल के नेता के चुनाव की
