,Actual Text,Generated Text
0,उत्तर प्रदेश में भाजपा ने चुनाव के लिए अनुराग ठाकुर अर्जुन मेघवाल सरोज पांडेय शोभा करंदलाजे कैप्टन अभिमन्यु अन्नपूर्णा देवी विवेक ठाकुर को सह प्रभारी की जिम्मेदारी दी है ,भारतीय जनता पार्टी ने अगले साल होने वाले चुनावों के प्रभारियों की नियुक्तियों की घोषणा की है.
1,मिजोरम के साथ लगी सीमा पर शांति बहाल होने का उल्लेख करते हुए असम के मुख्यमंत्री हेमंत बिस्व सरमा ने सोमवार को कहा कि राज्यों के बीच दशकों पुराने सीमा विवाद का एक दिन में समाधान नहीं हो सकता क्योंकि यह एक बहुत ही जटिल मुद्दा है ,भारत के पूर्वोत्तर राज्य असम के मुख्यमंत्री हेमंत बिस्व सरमा ने कहा है कि दोनों राज्यों में दशकों पुराने सीमा विवाद का एक दिन में समाधान नहीं हो सकता क्योंकि यह एक बहुत ही जटिल मुद्दा है.
2,अरुणाचल प्रदेश के भाजपा सांसद तापिर गाओ ने कहा कि चीन की पीपुल्स लिबरेशन आर्मी जिसने राज्य के सियांग जिले के किशोर मिराम तारोन का अपहरण कर लिया था उसे वापस भारत को सौंपा है लेकिन इस दौरान उसे मारा-पीटा गया और इलेक्ट्रिक शॉक भी दिए गए तापिर गाओ ने सरकार से मांग की है कि इस मुद्दे को प्रमुखता से उठाएं ,अरुणाचल प्रदेश में भारतीय जनता पार्टी के सांसद तापिर गाओ ने कहा है कि चीन की पीपुल्स लिबरेशन आर्मी जिसने राज्य के सियांग जिले के किशोर मिराम तारोन का अपहरण कर लिया था उसे वापस भारत को सौंपा है ले
3,दिल्ली पुलिस कमिश्नर एसएन श्रीवास्तव ने गणतंत्र दिवस पर होने वाली किसानों की ट्रैक्टर रैली की तैयारियों का जायज़ा लिया ,दिल्ली पुलिस कमिश्नर एसएन श्रीवास्तव ने गणतंत्र दिवस पर होने वाली किसान ट्रैक्टर रैली की तैयारियों का जायज़ा लिया है
4,जम्मू-कश्मीर दौरे के तीसरे दिन अमित शाह आज श्रीनगर में विकास कार्यों की समीक्षा करेंगे यहां वह कई विकास परियोजनाओं का शिलान्यास और उद्घाटन भी करेंगे ,श्रीनगर गृह मंत्री अमित शाह के जम्मू-कश्मीर दौरे का आज तीसरा और आखिरी दिन है जहां वो कई विकास कार्यों की समीक्षा करेंगे जबकि वह पुलवामा में पुष्पांजलि समारोह में शामिल होंगे.
5,संसद हंगामे के लिए नहीं होती है बल्कि यह चर्चा के लिए है अगर चर्चा की जगह हंगामा होगा तो ये लोकतंत्र का गला घोंटने जैसा है ये किसी कीमत पर नहीं होना चाहिए ,भारतीय संसद में मंगलवार को विपक्ष के लगातार हंगामे के बाद विपक्षी दलों ने जिस तरह की परंपरा हार गई उससे राजनीतिक गतिविधियों को रोक दिया गया है.
6,आधार कार्ड एक बेहद ही जरुरी डॉक्यूमेंट हो गया है स्कूल में बच्चों के एडमिशन के लिए आधार कार्ड जरूरी है इसके अलावा सरकारी योजनाओं का लाभ उठाने के लिए भी आधार के बिना काम नही होता है ,नई दिल्ली आधार कार्ड एक बेहद ही जरुरी डॉक्यूमेंट हो गया है लेकिन इसके लिए माता-पिता भविष्य में होने वाली परेशानियों से बचाना चाहते हैं.
7,मौसम विभाग ने राजधानी और आसपास के इलाकों में अगले कुछ घंटों में हल्की से मध्यम बारिश का अनुमान जताया है ,नई दिल्ली और आसपास के इलाकों में अगले कुछ घंटों में हल्की से मध्यम बारिश हो सकती है.
8,प्रधानमंत्री नरेंद्र मोदी ने कहा कि खेती को खुशहाल बनाने के लिए यह समय है इस समय को गंवाना नहीं चाहिए हमें आगे बढ़ना चाहिए देश को पीछे नहीं ले जाना चाहिए पक्ष हो विपक्ष हो आंदोलनकारी साथी हो इन सुधारों को मौका देना चाहिए कोई कमी हो उसको ठीक करेंगे और कहीं ढिलाई है तो उसको करेंगे ऐसा तो है नहीं कि सब दरवाजे बंद कर दिए ,प्रधानमंत्री नरेंद्र मोदी ने सोमवार को राज्यसभा में राष्ट्रपति प्रणव मुखर्जी के अभिभाषण का जवाब दिया.
9,हरियाणा में शुक्रवार को कोरोना वायरस के नए मामले और मौतें दर्ज की गई है इसके साथ ही लोगों को भी डिस्चार्ज किया गया है ,चंडीगढ़ हरियाणा में शुक्रवार को कोरोना वायरस के नए मामले दर्ज किए गए हैं और इसके साथ ही लोगों को भी डिस्चार्ज किया गया है.
